FIPS,County,Plan Selections
37001,Alamance,8028
37003,Alexander,2235
37005,Alleghany,785
37007,Anson,1214
37009,Ashe,2002
37011,Avery,1477
37013,Beaufort,3779
37015,Bertie,969
37017,Bladen,1715
37019,Brunswick,8365
37021,Buncombe,23291
37023,Burke,4340
37025,Cabarrus,13475
37027,Caldwell,4667
37029,Camden,418
37031,Carteret,5406
37033,Caswell,1086
37035,Catawba,9756
37037,Chatham,4103
37039,Cherokee,1679
37041,Chowan,745
37043,Clay,803
37045,Cleveland,4896
37047,Columbus,3028
37049,Craven,4990
37051,Cumberland,12611
37053,Currituck,1558
37055,Dare,4437
37057,Davidson,9581
37059,Davie,2381
37061,Duplin,2748
37063,Durham,17258
37065,Edgecombe,3064
37067,Forsyth,21687
37069,Franklin,3783
37071,Gaston,11451
37073,Gates,415
37075,Graham,427
37077,Granville,2630
37079,Greene,894
37081,Guilford,34887
37083,Halifax,2757
37085,Harnett,5240
37087,Haywood,4016
37089,Henderson,7164
37091,Hertford,1030
37093,Hoke,1947
37095,Hyde,383
37097,Iredell,11737
37099,Jackson,1996
37101,Johnston,9942
37103,Jones,591
37105,Lee,2882
37107,Lenoir,2740
37109,Lincoln,4651
37111,McDowell,2357
37113,Macon,2673
37115,Madison,1658
37117,Martin,1522
37119,Mecklenburg,79597
37121,Mitchell,1152
37123,Montgomery,1235
37125,Moore,5536
37127,Nash,4738
37129,New Hanover,17670
37131,Northampton,880
37133,Onslow,6385
37135,Orange,8081
37137,Pamlico,771
37139,Pasquotank,1833
37141,Pender,3828
37143,Perquimans,624
37145,Person,2175
37147,Pitt,9560
37149,Polk,1444
37151,Randolph,8274
37153,Richmond,1829
37155,Robeson,7977
37157,Rockingham,5552
37159,Rowan,7993
37161,Rutherford,3765
37163,Sampson,2999
37165,Scotland,1528
37167,Stanly,3483
37169,Stokes,2635
37171,Surry,4138
37173,Swain,819
37175,Transylvania,2644
37177,Tyrrell,408
37179,Union,16005
37181,Vance,2335
37183,Wake,65891
37185,Warren,851
37187,Washington,778
37189,Watauga,3639
37191,Wayne,4457
37193,Wilkes,4177
37195,Wilson,4166
37197,Yadkin,2006
37199,Yancey,1269
