county,election_dt,precinct_abbrv,precinct,contest,choice,party,ballot_count,FTP_date
ALAMANCE,38293,63,GRAHAM 3                                                    ,NC STATE HOUSE DISTRICT 63,Alice Bordsen,DEM,461,38313.38914
ALAMANCE,38293,63,GRAHAM 3                                                    ,NC STATE HOUSE DISTRICT 63,Jerry Rudd,REP,366,38313.38914
ALAMANCE,38293,06E   ,EAST GRAHAM                                                 ,NC STATE HOUSE DISTRICT 63,Jerry Rudd,REP,352,38313.38914
ALAMANCE,38293,06E   ,EAST GRAHAM                                                 ,NC STATE HOUSE DISTRICT 63,Alice Bordsen,DEM,321,38313.38914
ALAMANCE,38293,06N   ,NORTH GRAHAM                                                ,NC STATE HOUSE DISTRICT 63,Alice Bordsen,DEM,437,38313.38914
ALAMANCE,38293,06N   ,NORTH GRAHAM                                                ,NC STATE HOUSE DISTRICT 63,Jerry Rudd,REP,308,38313.38914
ALAMANCE,38293,06W   ,WEST GRAHAM                                                 ,NC STATE HOUSE DISTRICT 63,Jerry Rudd,REP,202,38313.38914
ALAMANCE,38293,06W   ,WEST GRAHAM                                                 ,NC STATE HOUSE DISTRICT 63,Alice Bordsen,DEM,177,38313.38914
ALAMANCE,38293,10N   ,NORTH MELVILLE                                              ,NC STATE HOUSE DISTRICT 63,Alice Bordsen,DEM,392,38313.38914
ALAMANCE,38293,10N   ,NORTH MELVILLE                                              ,NC STATE HOUSE DISTRICT 63,Jerry Rudd,REP,476,38313.38914
ALAMANCE,38293,10S   ,SOUTH MELVILLE                                              ,NC STATE HOUSE DISTRICT 63,Jerry Rudd,REP,624,38313.38914
ALAMANCE,38293,10S   ,SOUTH MELVILLE                                              ,NC STATE HOUSE DISTRICT 63,Alice Bordsen,DEM,625,38313.38914
ALAMANCE,38293,11,PLEASANT GROVE                                              ,NC STATE HOUSE DISTRICT 63,Alice Bordsen,DEM,635,38313.38914
ALAMANCE,38293,11,PLEASANT GROVE                                              ,NC STATE HOUSE DISTRICT 63,Jerry Rudd,REP,396,38313.38914
