county,precinct,contest_type,runoff_status ,recount_status,contest,choice,winner_status,party,Election Day,Absentee / One Stop,Provisional,total votes,district
ALAMANCE,GRAHAM 3,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,355,590,10,955,Not Found
ALAMANCE,EAST GRAHAM,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,303,465,5,773,Not Found
ALAMANCE,NORTH GRAHAM,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,378,534,10,922,Not Found
ALAMANCE,WEST GRAHAM,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,178,168,2,348,Not Found
ALAMANCE,NORTH MELVILLE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,331,847,2,1180,Not Found
ALAMANCE,SOUTH MELVILLE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,466,1620,10,2096,Not Found
ALAMANCE,PLEASANT GROVE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,405,930,4,1339,Not Found
ALAMANCE,BURLINGTON 4,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,254,369,0,623,Not Found
ALAMANCE,BURLINGTON 5,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,238,330,1,569,Not Found
ALAMANCE,BURLINGTON 7,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,745,1005,19,1769,Not Found
ALAMANCE,BURLINGTON 8,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,309,418,2,729,Not Found
ALAMANCE,BURLINGTON 10,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,268,299,7,574,Not Found
ALAMANCE,EAST BURLINGTON,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,275,294,3,572,Not Found
ALAMANCE,NORTH BURLINGTON,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,715,1017,8,1740,Not Found
ALAMANCE,SOUTH BURLINGTON,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,242,249,1,492,Not Found
ALAMANCE,WEST BURLINGTON,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,260,436,3,699,Not Found
ALAMANCE,HAW RIVER,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,483,785,10,1278,Not Found
ALAMANCE,ABSENTEE BY MAIL,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,0,0,0,0,Not Found
ALAMANCE,PROVISIONAL,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,0,0,0,0,Not Found
ALAMANCE,CURBSIDE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Alice Bordsen,0,DEM,0,0,0,0,Not Found
ALAMANCE,GRAHAM 3,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Celo Faucette,0,REP,267,303,2,572,Not Found
ALAMANCE,EAST GRAHAM,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Celo Faucette,0,REP,255,318,2,575,Not Found
ALAMANCE,NORTH GRAHAM,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Celo Faucette,0,REP,203,211,1,415,Not Found
ALAMANCE,WEST GRAHAM,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Celo Faucette,0,REP,159,134,2,295,Not Found
ALAMANCE,NORTH MELVILLE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Celo Faucette,0,REP,378,703,3,1084,Not Found
ALAMANCE,SOUTH MELVILLE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Celo Faucette,0,REP,407,1027,8,1442,Not Found
ALAMANCE,PLEASANT GROVE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Celo Faucette,0,REP,240,422,3,665,Not Found
ALAMANCE,BURLINGTON 4,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Celo Faucette,0,REP,287,331,2,620,Not Found
ALAMANCE,BURLINGTON 5,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Celo Faucette,0,REP,364,362,2,728,Not Found
ALAMANCE,BURLINGTON 7,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Celo Faucette,0,REP,247,316,3,566,Not Found
ALAMANCE,BURLINGTON 8,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Celo Faucette,0,REP,143,139,1,283,Not Found
ALAMANCE,BURLINGTON 10,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Celo Faucette,0,REP,225,223,5,453,Not Found
ALAMANCE,EAST BURLINGTON,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Celo Faucette,0,REP,150,135,3,288,Not Found
