county,unsure1,absentee,contest,choice,party,total_votes,unsure2
ALAMANCE, ,absentee/provisional,NC HOUSE (63),Alice Bordsen,DEM,865,37580.56361
ALAMANCE, ,absentee/provisional,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,1226,37580.56361
ALAMANCE, ,absentee/provisional,NC HOUSE (64),Cary D. Allred,REP,2008,37580.56361
ALAMANCE,1,PATTERSON                                                   ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,1,PATTERSON                                                   ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,1,PATTERSON                                                   ,NC HOUSE (64),Cary D. Allred,REP,671,37580.56361
ALAMANCE,2,COBLE                                                       ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,2,COBLE                                                       ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,2,COBLE                                                       ,NC HOUSE (64),Cary D. Allred,REP,878,37580.56361
ALAMANCE,35,BOONE 5                                                     ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,35,BOONE 5                                                     ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,35,BOONE 5                                                     ,NC HOUSE (64),Cary D. Allred,REP,681,37580.56361
ALAMANCE,03C   ,CENTRAL BOONE                                               ,NC HOUSE (63),Alice Bordsen,DEM,306,37580.56361
ALAMANCE,03C   ,CENTRAL BOONE                                               ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,680,37580.56361
ALAMANCE,03C   ,CENTRAL BOONE                                               ,NC HOUSE (64),Cary D. Allred,REP,0,37580.56361
ALAMANCE,03N   ,NORTH BOONE                                                 ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,03N   ,NORTH BOONE                                                 ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,03N   ,NORTH BOONE                                                 ,NC HOUSE (64),Cary D. Allred,REP,748,37580.56361
ALAMANCE,03S   ,SOUTH BOONE                                                 ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,03S   ,SOUTH BOONE                                                 ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,03S   ,SOUTH BOONE                                                 ,NC HOUSE (64),Cary D. Allred,REP,934,37580.56361
ALAMANCE,03W   ,WEST BOONE                                                  ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,03W   ,WEST BOONE                                                  ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,03W   ,WEST BOONE                                                  ,NC HOUSE (64),Cary D. Allred,REP,300,37580.56361
ALAMANCE,03WS  ,WEST BOONE-SAT                                              ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,03WS  ,WEST BOONE-SAT                                              ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,03WS  ,WEST BOONE-SAT                                              ,NC HOUSE (64),Cary D. Allred,REP,187,37580.56361
ALAMANCE,4,MORTON                                                      ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,4,MORTON                                                      ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,4,MORTON                                                      ,NC HOUSE (64),Cary D. Allred,REP,951,37580.56361
ALAMANCE,5,FAUCETTE                                                    ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,5,FAUCETTE                                                    ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,5,FAUCETTE                                                    ,NC HOUSE (64),Cary D. Allred,REP,646,37580.56361
ALAMANCE,63,GRAHAM 3                                                    ,NC HOUSE (63),Alice Bordsen,DEM,418,37580.56361
ALAMANCE,63,GRAHAM 3                                                    ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,425,37580.56361
ALAMANCE,63,GRAHAM 3                                                    ,NC HOUSE (64),Cary D. Allred,REP,0,37580.56361
ALAMANCE,64,GRAHAM 4                                                    ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,64,GRAHAM 4                                                    ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,64,GRAHAM 4                                                    ,NC HOUSE (64),Cary D. Allred,REP,858,37580.56361
ALAMANCE,06E   ,EAST GRAHAM                                                 ,NC HOUSE (63),Alice Bordsen,DEM,312,37580.56361
ALAMANCE,06E   ,EAST GRAHAM                                                 ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,434,37580.56361
ALAMANCE,06E   ,EAST GRAHAM                                                 ,NC HOUSE (64),Cary D. Allred,REP,0,37580.56361
ALAMANCE,06N   ,NORTH GRAHAM                                                ,NC HOUSE (63),Alice Bordsen,DEM,315,37580.56361
ALAMANCE,06N   ,NORTH GRAHAM                                                ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,307,37580.56361
ALAMANCE,06N   ,NORTH GRAHAM                                                ,NC HOUSE (64),Cary D. Allred,REP,0,37580.56361
ALAMANCE,06S   ,SOUTH GRAHAM                                                ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,06S   ,SOUTH GRAHAM                                                ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,06S   ,SOUTH GRAHAM                                                ,NC HOUSE (64),Cary D. Allred,REP,626,37580.56361
ALAMANCE,06W   ,WEST GRAHAM                                                 ,NC HOUSE (63),Alice Bordsen,DEM,143,37580.56361
ALAMANCE,06W   ,WEST GRAHAM                                                 ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,244,37580.56361
ALAMANCE,7,ALBRIGHT                                                    ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,7,ALBRIGHT                                                    ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,7,ALBRIGHT                                                    ,NC HOUSE (64),Cary D. Allred,REP,728,37580.56361
ALAMANCE,08N   ,NORTH NEWLIN                                                ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,08N   ,NORTH NEWLIN                                                ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,08N   ,NORTH NEWLIN                                                ,NC HOUSE (64),Cary D. Allred,REP,585,37580.56361
ALAMANCE,08S   ,SOUTH NEWLIN                                                ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,08S   ,SOUTH NEWLIN                                                ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,08S   ,SOUTH NEWLIN                                                ,NC HOUSE (64),Cary D. Allred,REP,338,37580.56361
ALAMANCE,09N   ,NORTH THOMPSON                                              ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,09N   ,NORTH THOMPSON                                              ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,09N   ,NORTH THOMPSON                                              ,NC HOUSE (64),Cary D. Allred,REP,464,37580.56361
ALAMANCE,09S   ,SOUTH THOMPSON                                              ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,09S   ,SOUTH THOMPSON                                              ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,09S   ,SOUTH THOMPSON                                              ,NC HOUSE (64),Cary D. Allred,REP,666,37580.56361
ALAMANCE,103,MELVILLE 3                                                  ,NC HOUSE (63),Alice Bordsen,DEM,289,37580.56361
ALAMANCE,103,MELVILLE 3                                                  ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,496,37580.56361
ALAMANCE,103,MELVILLE 3                                                  ,NC HOUSE (64),Cary D. Allred,REP,0,37580.56361
ALAMANCE,10N   ,NORTH MELVILLE                                              ,NC HOUSE (63),Alice Bordsen,DEM,481,37580.56361
ALAMANCE,10N   ,NORTH MELVILLE                                              ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,594,37580.56361
ALAMANCE,10N   ,NORTH MELVILLE                                              ,NC HOUSE (64),Cary D. Allred,REP,0,37580.56361
ALAMANCE,10S   ,SOUTH MELVILLE                                              ,NC HOUSE (63),Alice Bordsen,DEM,664,37580.56361
ALAMANCE,10S   ,SOUTH MELVILLE                                              ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,660,37580.56361
ALAMANCE,10S   ,SOUTH MELVILLE                                              ,NC HOUSE (64),Cary D. Allred,REP,0,37580.56361
ALAMANCE,11,PLEASANT GROVE                                              ,NC HOUSE (63),Alice Bordsen,DEM,627,37580.56361
ALAMANCE,11,PLEASANT GROVE                                              ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,345,37580.56361
ALAMANCE,11,PLEASANT GROVE                                              ,NC HOUSE (64),Cary D. Allred,REP,0,37580.56361
ALAMANCE,1210,BURLINGTON 10                                               ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,1210,BURLINGTON 10                                               ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,1210,BURLINGTON 10                                               ,NC HOUSE (64),Cary D. Allred,REP,418,37580.56361
ALAMANCE,124,BURLINGTON 4                                                ,NC HOUSE (63),Alice Bordsen,DEM,325,37580.56361
ALAMANCE,124,BURLINGTON 4                                                ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,466,37580.56361
ALAMANCE,124,BURLINGTON 4                                                ,NC HOUSE (64),Cary D. Allred,REP,0,37580.56361
ALAMANCE,125,BURLINGTON 5                                                ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,125,BURLINGTON 5                                                ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,125,BURLINGTON 5                                                ,NC HOUSE (64),Cary D. Allred,REP,545,37580.56361
ALAMANCE,126,BURLINGTON 6                                                ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,126,BURLINGTON 6                                                ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,126,BURLINGTON 6                                                ,NC HOUSE (64),Cary D. Allred,REP,340,37580.56361
ALAMANCE,127,BURLINGTON 7                                                ,NC HOUSE (63),Alice Bordsen,DEM,710,37580.56361
ALAMANCE,127,BURLINGTON 7                                                ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,261,37580.56361
ALAMANCE,127,BURLINGTON 7                                                ,NC HOUSE (64),Cary D. Allred,REP,0,37580.56361
ALAMANCE,128,BURLINGTON 8                                                ,NC HOUSE (63),Alice Bordsen,DEM,253,37580.56361
ALAMANCE,128,BURLINGTON 8                                                ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,177,37580.56361
ALAMANCE,128,BURLINGTON 8                                                ,NC HOUSE (64),Cary D. Allred,REP,0,37580.56361
ALAMANCE,129,BURLINGTON 9                                                ,NC HOUSE (63),Alice Bordsen,DEM,0,37580.56361
ALAMANCE,129,BURLINGTON 9                                                ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,0,37580.56361
ALAMANCE,129,BURLINGTON 9                                                ,NC HOUSE (64),Cary D. Allred,REP,329,37580.56361
ALAMANCE,12E   ,EAST BURLINGTON                                             ,NC HOUSE (63),Alice Bordsen,DEM,204,37580.56361
ALAMANCE,12E   ,EAST BURLINGTON                                             ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,225,37580.56361
ALAMANCE,12E   ,EAST BURLINGTON                                             ,NC HOUSE (64),Cary D. Allred,REP,0,37580.56361
ALAMANCE,12N   ,NORTH BURLINGTON                                            ,NC HOUSE (63),Alice Bordsen,DEM,870,37580.56361
ALAMANCE,12N   ,NORTH BURLINGTON                                            ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,192,37580.56361
ALAMANCE,12N   ,NORTH BURLINGTON                                            ,NC HOUSE (64),Cary D. Allred,REP,0,37580.56361
ALAMANCE,12S   ,SOUTH BURLINGTON                                            ,NC HOUSE (63),Alice Bordsen,DEM,176,37580.56361
ALAMANCE,12S   ,SOUTH BURLINGTON                                            ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,128,37580.56361
ALAMANCE,12W   ,WEST BURLINGTON                                             ,NC HOUSE (63),Alice Bordsen,DEM,326,37580.56361
ALAMANCE,12W   ,WEST BURLINGTON                                             ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,445,37580.56361
ALAMANCE,12W   ,WEST BURLINGTON                                             ,NC HOUSE (64),Cary D. Allred,REP,0,37580.56361
ALAMANCE,13,HAW RIVER                                                   ,NC HOUSE (63),Alice Bordsen,DEM,630,37580.56361
ALAMANCE,13,HAW RIVER                                                   ,NC HOUSE (63),"Robert E. (Rob) Sharpe, Jr.",REP,512,37580.56361
ALAMANCE,13,HAW RIVER                                                   ,NC HOUSE (64),Cary D. Allred,REP,0,37580.56361
ALEXANDER, ,absentee/provisional,NC HOUSE (87),Edgar V. Starnes,REP,1047,37580.56361
ALEXANDER, ,absentee/provisional,NC HOUSE (87),Ray Warren,DEM,1517,37580.56361
ALEXANDER,B1    ,BETHLEHEM #1                                                ,NC HOUSE (87),Edgar V. Starnes,REP,577,37580.56361
ALEXANDER,B1    ,BETHLEHEM #1                                                ,NC HOUSE (87),Ray Warren,DEM,588,37580.56361
ALEXANDER,B2    ,BETHLEHEM #2                                                ,NC HOUSE (87),Edgar V. Starnes,REP,623,37580.56361
ALEXANDER,B2    ,BETHLEHEM #2                                                ,NC HOUSE (87),Ray Warren,DEM,593,37580.56361
ALEXANDER,E     ,ELLENDALE                                                   ,NC HOUSE (87),Edgar V. Starnes,REP,357,37580.56361
ALEXANDER,E     ,ELLENDALE                                                   ,NC HOUSE (87),Ray Warren,DEM,548,37580.56361
ALEXANDER,G1    ,GWALTNEY #1                                                 ,NC HOUSE (87),Edgar V. Starnes,REP,106,37580.56361
ALEXANDER,G1    ,GWALTNEY #1                                                 ,NC HOUSE (87),Ray Warren,DEM,197,37580.56361
ALEXANDER,G2    ,GWALTNEY #2                                                 ,NC HOUSE (87),Edgar V. Starnes,REP,117,37580.56361
ALEXANDER,G2    ,GWALTNEY #2                                                 ,NC HOUSE (87),Ray Warren,DEM,291,37580.56361
ALEXANDER,L     ,LITTLE RIVER                                                ,NC HOUSE (87),Edgar V. Starnes,REP,180,37580.56361
ALEXANDER,L     ,LITTLE RIVER                                                ,NC HOUSE (87),Ray Warren,DEM,310,37580.56361
ALEXANDER,M     ,MILLERS                                                     ,NC HOUSE (87),Edgar V. Starnes,REP,195,37580.56361
ALEXANDER,M     ,MILLERS                                                     ,NC HOUSE (87),Ray Warren,DEM,364,37580.56361
ALEXANDER,S1    ,SHARPES #1                                                  ,NC HOUSE (87),Edgar V. Starnes,REP,218,37580.56361
ALEXANDER,S1    ,SHARPES #1                                                  ,NC HOUSE (87),Ray Warren,DEM,580,37580.56361
ALEXANDER,S2    ,SHARPES #2                                                  ,NC HOUSE (87),Edgar V. Starnes,REP,136,37580.56361
ALEXANDER,S2    ,SHARPES #2                                                  ,NC HOUSE (87),Ray Warren,DEM,381,37580.56361
ALEXANDER,SL    ,SUGAR LOAF                                                  ,NC HOUSE (87),Edgar V. Starnes,REP,137,37580.56361
ALEXANDER,SL    ,SUGAR LOAF                                                  ,NC HOUSE (87),Ray Warren,DEM,208,37580.56361
ALEXANDER,T1    ,TAYLORSVILLE #1                                             ,NC HOUSE (87),Edgar V. Starnes,REP,187,37580.56361
ALEXANDER,T1    ,TAYLORSVILLE #1                                             ,NC HOUSE (87),Ray Warren,DEM,225,37580.56361
ALEXANDER,T2    ,TAYLORSVILLE #2                                             ,NC HOUSE (87),Edgar V. Starnes,REP,135,37580.56361
ALEXANDER,T2    ,TAYLORSVILLE #2                                             ,NC HOUSE (87),Ray Warren,DEM,353,37580.56361
ALEXANDER,T3    ,TAYLORSVILLE #3                                             ,NC HOUSE (87),Edgar V. Starnes,REP,128,37580.56361
ALEXANDER,T3    ,TAYLORSVILLE #3                                             ,NC HOUSE (87),Ray Warren,DEM,293,37580.56361
