county,precinct,contest_type,runoff_status ,recount_status,contest,choice,winner_status,party,Election Day,One Stop,Absentee by Mail,Provisional,total votes,district
ALAMANCE,03C_CENTRAL BOONE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,143,219,33,0,395,Not Found
ALAMANCE,063_GRAHAM 3,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,336,437,15,4,792,Not Found
ALAMANCE,064_GRAHAM 4,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,287,574,28,0,889,Not Found
ALAMANCE,06E_EAST GRAHAM,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,236,442,7,2,687,Not Found
ALAMANCE,06N_NORTH GRAHAM,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,371,521,9,3,904,Not Found
ALAMANCE,06S_SOUTH GRAHAM,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,212,402,22,2,638,Not Found
ALAMANCE,06W_WEST GRAHAM,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,149,138,5,1,293,Not Found
ALAMANCE,09N_NORTH THOMPSON,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,192,275,11,1,479,Not Found
ALAMANCE,09S_SOUTH THOMPSON,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,402,637,29,4,1072,Not Found
ALAMANCE,103_MELVILLE 3,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,164,330,33,5,532,Not Found
ALAMANCE,10N_NORTH MELVILLE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,279,670,23,3,975,Not Found
ALAMANCE,10S_SOUTH MELVILLE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,547,1478,51,21,2097,Not Found
ALAMANCE,11_PLEASANT GROVE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,395,836,16,5,1252,Not Found
ALAMANCE,124_BURLINGTON 4,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,211,272,12,3,498,Not Found
ALAMANCE,125_BURLINGTON 5,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,183,243,12,1,439,Not Found
ALAMANCE,126_BURLINGTON 6,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,179,188,32,0,399,Not Found
ALAMANCE,129_BURLINGTON 9,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,119,167,20,1,307,Not Found
ALAMANCE,1210_BURLINGTON 10,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,255,252,9,8,524,Not Found
ALAMANCE,12W_WEST BURLINGTON,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,236,301,24,0,561,Not Found
ALAMANCE,13_HAW RIVER,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,417,700,19,1,1137,Not Found
ALAMANCE,ABSENTEE BY MAIL,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,0,0,0,0,0,Not Found
ALAMANCE,PROVISIONAL,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,0,0,0,0,0,Not Found
ALAMANCE,CURBSIDE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Patty Philipps,0,DEM,0,0,0,0,0,Not Found
ALAMANCE,03C_CENTRAL BOONE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,530,615,134,0,1279,Not Found
ALAMANCE,063_GRAHAM 3,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,194,182,56,2,434,Not Found
ALAMANCE,064_GRAHAM 4,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,620,959,109,3,1691,Not Found
ALAMANCE,06E_EAST GRAHAM,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,305,354,49,2,710,Not Found
ALAMANCE,06N_NORTH GRAHAM,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,185,216,37,0,438,Not Found
ALAMANCE,06S_SOUTH GRAHAM,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,433,608,67,3,1111,Not Found
ALAMANCE,06W_WEST GRAHAM,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,146,118,18,0,282,Not Found
ALAMANCE,09N_NORTH THOMPSON,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,381,319,33,4,737,Not Found
ALAMANCE,09S_SOUTH THOMPSON,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,682,859,68,2,1611,Not Found
ALAMANCE,103_MELVILLE 3,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,350,735,80,5,1170,Not Found
ALAMANCE,10N_NORTH MELVILLE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,423,905,75,2,1405,Not Found
ALAMANCE,10S_SOUTH MELVILLE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,535,1326,106,15,1982,Not Found
ALAMANCE,11_PLEASANT GROVE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,341,485,45,0,871,Not Found
ALAMANCE,124_BURLINGTON 4,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,331,353,58,1,743,Not Found
ALAMANCE,125_BURLINGTON 5,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,453,380,70,1,904,Not Found
ALAMANCE,126_BURLINGTON 6,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,444,445,117,2,1008,Not Found
ALAMANCE,129_BURLINGTON 9,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,313,370,76,1,760,Not Found
ALAMANCE,1210_BURLINGTON 10,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,279,237,33,3,552,Not Found
ALAMANCE,12W_WEST BURLINGTON,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,392,338,55,3,788,Not Found
ALAMANCE,13_HAW RIVER,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,448,438,72,1,959,Not Found
ALAMANCE,ABSENTEE BY MAIL,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,0,0,0,0,0,Not Found
ALAMANCE,PROVISIONAL,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,0,0,0,0,0,Not Found
ALAMANCE,CURBSIDE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 63,Stephen M. Ross,0,REP,0,0,0,0,0,Not Found
ALAMANCE,01_PATTERSON,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 64,Morris McAdoo,0,DEM,209,225,17,5,456,Not Found
ALAMANCE,02_COBLE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 64,Morris McAdoo,0,DEM,195,175,20,0,390,Not Found
ALAMANCE,035_BOONE 5,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 64,Morris McAdoo,0,DEM,387,328,44,8,767,Not Found
ALAMANCE,03C_CENTRAL BOONE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 64,Morris McAdoo,0,DEM,22,45,0,0,67,Not Found
ALAMANCE,03N_NORTH BOONE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 64,Morris McAdoo,0,DEM,357,403,59,2,821,Not Found
ALAMANCE,03N2_NORTH BOONE 2,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 64,Morris McAdoo,0,DEM,169,40,21,1,231,Not Found
ALAMANCE,03S_SOUTH BOONE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 64,Morris McAdoo,0,DEM,462,775,57,6,1300,Not Found
ALAMANCE,03W_WEST BOONE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 64,Morris McAdoo,0,DEM,244,242,20,4,510,Not Found
ALAMANCE,04_MORTON,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 64,Morris McAdoo,0,DEM,281,310,19,3,613,Not Found
ALAMANCE,05_FAUCETTE,S,0,0,NC HOUSE OF REPRESENTATIVES DISTRICT 64,Morris McAdoo,0,DEM,146,179,16,2,343,Not Found
