county,election_dt,precinct_abbrv,precinct,contest,choice,party,ballot_count,FTP_Date
ALAMANCE,39028,63,GRAHAM 3                                                    ,NC STATE HOUSE DISTRICT 063,Alice Bordsen,DEM,485,39059
ALAMANCE,39028,06E   ,EAST GRAHAM                                                 ,NC STATE HOUSE DISTRICT 063,Alice Bordsen,DEM,424,39059
ALAMANCE,39028,06N   ,NORTH GRAHAM                                                ,NC STATE HOUSE DISTRICT 063,Alice Bordsen,DEM,373,39059
ALAMANCE,39028,06W   ,WEST GRAHAM                                                 ,NC STATE HOUSE DISTRICT 063,Alice Bordsen,DEM,175,39059
ALAMANCE,39028,10N   ,NORTH MELVILLE                                              ,NC STATE HOUSE DISTRICT 063,Alice Bordsen,DEM,652,39059
ALAMANCE,39028,10S   ,SOUTH MELVILLE                                              ,NC STATE HOUSE DISTRICT 063,Alice Bordsen,DEM,906,39059
ALAMANCE,39028,11,PLEASANT GROVE                                              ,NC STATE HOUSE DISTRICT 063,Alice Bordsen,DEM,655,39059
ALAMANCE,39028,1210,BURLINGTON 10                                               ,NC STATE HOUSE DISTRICT 063,Alice Bordsen,DEM,302,39059
ALAMANCE,39028,124,BURLINGTON 4                                                ,NC STATE HOUSE DISTRICT 063,Alice Bordsen,DEM,470,39059
ALAMANCE,39028,125,BURLINGTON 5                                                ,NC STATE HOUSE DISTRICT 063,Alice Bordsen,DEM,385,39059
ALAMANCE,39028,127,BURLINGTON 7                                                ,NC STATE HOUSE DISTRICT 063,Alice Bordsen,DEM,651,39059
ALAMANCE,39028,128,BURLINGTON 8                                                ,NC STATE HOUSE DISTRICT 063,Alice Bordsen,DEM,268,39059
ALAMANCE,39028,12E   ,EAST BURLINGTON                                             ,NC STATE HOUSE DISTRICT 063,Alice Bordsen,DEM,222,39059
ALAMANCE,39028,12N   ,NORTH BURLINGTON                                            ,NC STATE HOUSE DISTRICT 063,Alice Bordsen,DEM,737,39059
ALAMANCE,39028,12S   ,SOUTH BURLINGTON                                            ,NC STATE HOUSE DISTRICT 063,Alice Bordsen,DEM,184,39059
ALAMANCE,39028,12W   ,WEST BURLINGTON                                             ,NC STATE HOUSE DISTRICT 063,Alice Bordsen,DEM,512,39059
ALAMANCE,39028,13,HAW RIVER                                                   ,NC STATE HOUSE DISTRICT 063,Alice Bordsen,DEM,622,39059
ALAMANCE,39028,1,PATTERSON                                                   ,NC STATE HOUSE DISTRICT 064,Cary D. Allred,REP,678,39059
ALAMANCE,39028,2,COBLE                                                       ,NC STATE HOUSE DISTRICT 064,Cary D. Allred,REP,858,39059
ALAMANCE,39028,35,BOONE 5                                                     ,NC STATE HOUSE DISTRICT 064,Cary D. Allred,REP,602,39059
ALAMANCE,39028,03C   ,CENTRAL BOONE                                               ,NC STATE HOUSE DISTRICT 064,Cary D. Allred,REP,764,39059
ALAMANCE,39028,03N   ,NORTH BOONE                                                 ,NC STATE HOUSE DISTRICT 064,Cary D. Allred,REP,709,39059
ALAMANCE,39028,03S   ,SOUTH BOONE                                                 ,NC STATE HOUSE DISTRICT 064,Cary D. Allred,REP,841,39059
ALAMANCE,39028,03W   ,WEST BOONE                                                  ,NC STATE HOUSE DISTRICT 064,Cary D. Allred,REP,500,39059
ALAMANCE,39028,03WS  ,WEST BOONE-SAT                                              ,NC STATE HOUSE DISTRICT 064,Cary D. Allred,REP,229,39059
