year,choice,party,district
2000,"W. C. (Bill) Owens, Jr.",DEM,1
2000,"Howard Hunter, Jr.",DEM,5
2000,John D. Hall,DEM,7
2000,Edith D. Warren,DEM,8
2000,Danny McComas,REP,13
2000,Flossie Boyd-McIntyre,DEM,28
2000,Joanne W. Bowie,REP,29
2000,Wayne Goodwin,DEM,32
2000,Pryor Gibson,DEM,33
2000,Lyons Gray,REP,39
2000,Mitchel Smith Setzer,REP,43
2000,Larry T. Justus,REP,50
2000,Ed McMahan,REP,55
2000,Martha Alexander,DEM,56
2000,Connie Wilson,REP,57
2000,Ruth M. Easterling,DEM,58
2000,W. Pete Cunningham,DEM,59
2000,Rick L. Eddins,REP,65
2000,Warren (Pete) Oldham,DEM,67
2000,Trudi Walend,REP,68
2000,"Milton F. Fitch, Jr.",DEM,70
2000,Julia C. Howard,REP,74
2000,Carolyn B. Russell,REP,77
2000,Stan Fox,DEM,78
2000,William L. Wainwright,DEM,79
2000,"Bobby Barbee, Sr.",REP,82
2000,Eugene McCombs,REP,83
2000,Ronnie Sutton,DEM,85
2000,Donald A. Bonner,DEM,87
2000,Theresa Esposito,REP,88
2000,Thomas E. Wright,DEM,98
2002,"W. C. (Bill) Owens, Jr.",DEM,1
2002,Beverly M. Earle,DEM,101
2002,Martha Alexander,DEM,106
2002,W. Pete Cunningham,DEM,107
2002,Debbie A. Clary,REP,110
2002,Wilma M. Sherrill,REP,116
2002,Roger West,REP,120
2002,Larry M. Bell,DEM,21
2002,Jean Farmer Butterfield,DEM,24
2002,Billy Creech,REP,26
2002,Stan Fox,DEM,27
2002,Leo Daughtry,REP,28
2002,Paul Miller,DEM,29
2002,Marvin W. Lucas,DEM,42
2002,Mary E. McAllister,DEM,43
2002,Donald A. Bonner,DEM,48
2002,Cary D. Allred,REP,64
2002,Nelson Cole,DEM,65
2002,Wayne Sexton,REP,66
2002,John D. Hall,DEM,7
2002,Curtis Blackwood,REP,73
2002,Eugene McCombs,REP,76
2002,Edith D. Warren,DEM,8
2002,Jerry C. Dockham,REP,80
2002,Mark K. Hilton,REP,88
2002,Karen Ray,REP,95
2002,Drew Saunders,DEM,99
2004,"W.C. Bill Owens, Jr.",DEM,1
2004,James B. (Jim) Black,DEM,100
2004,Beverly M. Earle,DEM,101
2004,Becky Carney,DEM,102
