county,election_dt,precinct_abbrv,precinct,contest,choice,party,ballot_count,FTP_date
ALAMANCE,38293,1,PATTERSON                                                   ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,286,0.014143519
ALAMANCE,38293,1,PATTERSON                                                   ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,819,0.014143519
ALAMANCE,38293,2,COBLE                                                       ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,799,0.014143519
ALAMANCE,38293,2,COBLE                                                       ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,188,0.014143519
ALAMANCE,38293,35,BOONE 5                                                     ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,264,0.014143519
ALAMANCE,38293,35,BOONE 5                                                     ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,633,0.014143519
ALAMANCE,38293,03C   ,CENTRAL BOONE                                               ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,538,0.014143519
ALAMANCE,38293,03C   ,CENTRAL BOONE                                               ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,247,0.014143519
ALAMANCE,38293,03N   ,NORTH BOONE                                                 ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,615,0.014143519
ALAMANCE,38293,03N   ,NORTH BOONE                                                 ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,417,0.014143519
ALAMANCE,38293,03S   ,SOUTH BOONE                                                 ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,323,0.014143519
ALAMANCE,38293,03S   ,SOUTH BOONE                                                 ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,698,0.014143519
ALAMANCE,38293,03W   ,WEST BOONE                                                  ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,524,0.014143519
ALAMANCE,38293,03W   ,WEST BOONE                                                  ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,288,0.014143519
ALAMANCE,38293,03WS  ,WEST BOONE-SAT                                              ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,159,0.014143519
ALAMANCE,38293,03WS  ,WEST BOONE-SAT                                              ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,178,0.014143519
ALAMANCE,38293,4,MORTON                                                      ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,1087,0.014143519
ALAMANCE,38293,4,MORTON                                                      ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,351,0.014143519
ALAMANCE,38293,5,FAUCETTE                                                    ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,201,0.014143519
ALAMANCE,38293,5,FAUCETTE                                                    ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,673,0.014143519
ALAMANCE,38293,63,GRAHAM 3                                                    ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,381,0.014143519
ALAMANCE,38293,63,GRAHAM 3                                                    ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,447,0.014143519
ALAMANCE,38293,64,GRAHAM 4                                                    ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,402,0.014143519
ALAMANCE,38293,64,GRAHAM 4                                                    ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,680,0.014143519
ALAMANCE,38293,06E   ,EAST GRAHAM                                                 ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,375,0.014143519
ALAMANCE,38293,06E   ,EAST GRAHAM                                                 ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,302,0.014143519
ALAMANCE,38293,06N   ,NORTH GRAHAM                                                ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,411,0.014143519
ALAMANCE,38293,06N   ,NORTH GRAHAM                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,332,0.014143519
ALAMANCE,38293,06S   ,SOUTH GRAHAM                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,518,0.014143519
ALAMANCE,38293,06S   ,SOUTH GRAHAM                                                ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,286,0.014143519
ALAMANCE,38293,06W   ,WEST GRAHAM                                                 ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,162,0.014143519
ALAMANCE,38293,06W   ,WEST GRAHAM                                                 ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,219,0.014143519
ALAMANCE,38293,7,ALBRIGHT                                                    ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,747,0.014143519
ALAMANCE,38293,7,ALBRIGHT                                                    ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,223,0.014143519
ALAMANCE,38293,08N   ,NORTH NEWLIN                                                ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,320,0.014143519
ALAMANCE,38293,08N   ,NORTH NEWLIN                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,605,0.014143519
ALAMANCE,38293,08S   ,SOUTH NEWLIN                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,395,0.014143519
ALAMANCE,38293,08S   ,SOUTH NEWLIN                                                ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,169,0.014143519
ALAMANCE,38293,09N   ,NORTH THOMPSON                                              ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,279,0.014143519
ALAMANCE,38293,09N   ,NORTH THOMPSON                                              ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,450,0.014143519
ALAMANCE,38293,09S   ,SOUTH THOMPSON                                              ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,754,0.014143519
ALAMANCE,38293,09S   ,SOUTH THOMPSON                                              ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,468,0.014143519
ALAMANCE,38293,103,MELVILLE 3                                                  ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,475,0.014143519
ALAMANCE,38293,103,MELVILLE 3                                                  ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,236,0.014143519
ALAMANCE,38293,10N   ,NORTH MELVILLE                                              ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,549,0.014143519
ALAMANCE,38293,10N   ,NORTH MELVILLE                                              ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,303,0.014143519
ALAMANCE,38293,10S   ,SOUTH MELVILLE                                              ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,701,0.014143519
ALAMANCE,38293,10S   ,SOUTH MELVILLE                                              ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,528,0.014143519
ALAMANCE,38293,11,PLEASANT GROVE                                              ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,644,0.014143519
ALAMANCE,38293,11,PLEASANT GROVE                                              ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,389,0.014143519
ALAMANCE,38293,1210,BURLINGTON 10                                               ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,387,0.014143519
ALAMANCE,38293,1210,BURLINGTON 10                                               ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,232,0.014143519
ALAMANCE,38293,124,BURLINGTON 4                                                ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,333,0.014143519
ALAMANCE,38293,124,BURLINGTON 4                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,428,0.014143519
ALAMANCE,38293,125,BURLINGTON 5                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,475,0.014143519
ALAMANCE,38293,125,BURLINGTON 5                                                ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,199,0.014143519
ALAMANCE,38293,126,BURLINGTON 6                                                ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,240,0.014143519
ALAMANCE,38293,126,BURLINGTON 6                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,451,0.014143519
ALAMANCE,38293,127,BURLINGTON 7                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,344,0.014143519
ALAMANCE,38293,127,BURLINGTON 7                                                ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,844,0.014143519
ALAMANCE,38293,128,BURLINGTON 8                                                ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,345,0.014143519
ALAMANCE,38293,128,BURLINGTON 8                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,218,0.014143519
ALAMANCE,38293,129,BURLINGTON 9                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,344,0.014143519
ALAMANCE,38293,129,BURLINGTON 9                                                ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,134,0.014143519
ALAMANCE,38293,12E   ,EAST BURLINGTON                                             ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,253,0.014143519
ALAMANCE,38293,12E   ,EAST BURLINGTON                                             ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,264,0.014143519
ALAMANCE,38293,12N   ,NORTH BURLINGTON                                            ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,212,0.014143519
ALAMANCE,38293,12N   ,NORTH BURLINGTON                                            ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,1039,0.014143519
ALAMANCE,38293,12S   ,SOUTH BURLINGTON                                            ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,166,0.014143519
ALAMANCE,38293,12S   ,SOUTH BURLINGTON                                            ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,255,0.014143519
ALAMANCE,38293,12W   ,WEST BURLINGTON                                             ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,398,0.014143519
ALAMANCE,38293,12W   ,WEST BURLINGTON                                             ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,279,0.014143519
ALAMANCE,38293,13,HAW RIVER                                                   ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,526,0.014143519
ALAMANCE,38293,13,HAW RIVER                                                   ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,618,0.014143519
ALAMANCE,38293,A     ,ABSENTEE                                                    ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,8334,0.014143519
ALAMANCE,38293,A     ,ABSENTEE                                                    ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,12761,0.014143519
ALAMANCE,38293,P     ,PROV                                                        ,NC STATE SENATE DISTRICT 24,Tony Foriest,DEM,352,0.014143519
ALAMANCE,38293,P     ,PROV                                                        ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,351,0.014143519
ALEXANDER,38293,A     ,ABSENTEE                                                    ,NC STATE SENATE DISTRICT 45,John Garwood,REP,3573,0.014143519
ALEXANDER,38293,A     ,ABSENTEE                                                    ,NC STATE SENATE DISTRICT 45,Jim Cain,DEM,1823,0.014143519
ALEXANDER,38293,B1    ,BETHLEHEM #1                                                ,NC STATE SENATE DISTRICT 45,John Garwood,REP,890,0.014143519
ALEXANDER,38293,B1    ,BETHLEHEM #1                                                ,NC STATE SENATE DISTRICT 45,Jim Cain,DEM,340,0.014143519
ALEXANDER,38293,B2    ,BETHLEHEM #2                                                ,NC STATE SENATE DISTRICT 45,Jim Cain,DEM,369,0.014143519
ALEXANDER,38293,B2    ,BETHLEHEM #2                                                ,NC STATE SENATE DISTRICT 45,John Garwood,REP,939,0.014143519
ALEXANDER,38293,E     ,ELLENDALE                                                   ,NC STATE SENATE DISTRICT 45,John Garwood,REP,571,0.014143519
ALEXANDER,38293,E     ,ELLENDALE                                                   ,NC STATE SENATE DISTRICT 45,Jim Cain,DEM,332,0.014143519
ALEXANDER,38293,G1    ,GWALTNEY #1                                                 ,NC STATE SENATE DISTRICT 45,Jim Cain,DEM,125,0.014143519
ALEXANDER,38293,G1    ,GWALTNEY #1                                                 ,NC STATE SENATE DISTRICT 45,John Garwood,REP,202,0.014143519
ALEXANDER,38293,G2    ,GWALTNEY #2                                                 ,NC STATE SENATE DISTRICT 45,John Garwood,REP,258,0.014143519
ALEXANDER,38293,G2    ,GWALTNEY #2                                                 ,NC STATE SENATE DISTRICT 45,Jim Cain,DEM,218,0.014143519
ALEXANDER,38293,L     ,LITTLE RIVER                                                ,NC STATE SENATE DISTRICT 45,Jim Cain,DEM,173,0.014143519
ALEXANDER,38293,L     ,LITTLE RIVER                                                ,NC STATE SENATE DISTRICT 45,John Garwood,REP,343,0.014143519
ALEXANDER,38293,M     ,MILLERS                                                     ,NC STATE SENATE DISTRICT 45,John Garwood,REP,403,0.014143519
ALEXANDER,38293,M     ,MILLERS                                                     ,NC STATE SENATE DISTRICT 45,Jim Cain,DEM,275,0.014143519
ALEXANDER,38293,P     ,PROV                                                        ,NC STATE SENATE DISTRICT 45,Jim Cain,DEM,60,0.014143519
ALEXANDER,38293,P     ,PROV                                                        ,NC STATE SENATE DISTRICT 45,John Garwood,REP,115,0.014143519
ALEXANDER,38293,S1    ,SHARPES #1                                                  ,NC STATE SENATE DISTRICT 45,John Garwood,REP,495,0.014143519
ALEXANDER,38293,S1    ,SHARPES #1                                                  ,NC STATE SENATE DISTRICT 45,Jim Cain,DEM,325,0.014143519
ALEXANDER,38293,S2    ,SHARPES #2                                                  ,NC STATE SENATE DISTRICT 45,Jim Cain,DEM,258,0.014143519
ALEXANDER,38293,S2    ,SHARPES #2                                                  ,NC STATE SENATE DISTRICT 45,John Garwood,REP,273,0.014143519
ALEXANDER,38293,SL    ,SUGAR LOAF                                                  ,NC STATE SENATE DISTRICT 45,John Garwood,REP,264,0.014143519
ALEXANDER,38293,SL    ,SUGAR LOAF                                                  ,NC STATE SENATE DISTRICT 45,Jim Cain,DEM,122,0.014143519
ALEXANDER,38293,T1    ,TAYLORSVILLE #1                                             ,NC STATE SENATE DISTRICT 45,Jim Cain,DEM,116,0.014143519
ALEXANDER,38293,T1    ,TAYLORSVILLE #1                                             ,NC STATE SENATE DISTRICT 45,John Garwood,REP,285,0.014143519
ALEXANDER,38293,T2    ,TAYLORSVILLE #2                                             ,NC STATE SENATE DISTRICT 45,John Garwood,REP,259,0.014143519
ALEXANDER,38293,T2    ,TAYLORSVILLE #2                                             ,NC STATE SENATE DISTRICT 45,Jim Cain,DEM,169,0.014143519
ALEXANDER,38293,T3    ,TAYLORSVILLE #3                                             ,NC STATE SENATE DISTRICT 45,Jim Cain,DEM,169,0.014143519
ALEXANDER,38293,T3    ,TAYLORSVILLE #3                                             ,NC STATE SENATE DISTRICT 45,John Garwood,REP,256,0.014143519
ALEXANDER,38293,T4    ,TAYLORSVILLE #4                                             ,NC STATE SENATE DISTRICT 45,John Garwood,REP,230,0.014143519
ALEXANDER,38293,T4    ,TAYLORSVILLE #4                                             ,NC STATE SENATE DISTRICT 45,Jim Cain,DEM,188,0.014143519
ALEXANDER,38293,T5    ,TAYLORSVILLE #5                                             ,NC STATE SENATE DISTRICT 45,Jim Cain,DEM,89,0.014143519
ALEXANDER,38293,T5    ,TAYLORSVILLE #5                                             ,NC STATE SENATE DISTRICT 45,John Garwood,REP,238,0.014143519
ALEXANDER,38293,W     ,WITTENBURG                                                  ,NC STATE SENATE DISTRICT 45,John Garwood,REP,450,0.014143519
ALEXANDER,38293,W     ,WITTENBURG                                                  ,NC STATE SENATE DISTRICT 45,Jim Cain,DEM,181,0.014143519
ALLEGHANY,38293,1,CHERRY LANE                                                 ,NC STATE SENATE DISTRICT 30,Don W. East,REP,289,0.014143519
ALLEGHANY,38293,1,CHERRY LANE                                                 ,NC STATE SENATE DISTRICT 30,Melvin T. Jackson,DEM,146,0.014143519
ALLEGHANY,38293,2,CRANBERRY                                                   ,NC STATE SENATE DISTRICT 30,Melvin T. Jackson,DEM,39,0.014143519
ALLEGHANY,38293,2,CRANBERRY                                                   ,NC STATE SENATE DISTRICT 30,Don W. East,REP,87,0.014143519
ALLEGHANY,38293,3,GAP CIVIL                                                   ,NC STATE SENATE DISTRICT 30,Don W. East,REP,381,0.014143519
ALLEGHANY,38293,3,GAP CIVIL                                                   ,NC STATE SENATE DISTRICT 30,Melvin T. Jackson,DEM,406,0.014143519
ALLEGHANY,38293,4,GLADE CREEK                                                 ,NC STATE SENATE DISTRICT 30,Melvin T. Jackson,DEM,242,0.014143519
ALLEGHANY,38293,4,GLADE CREEK                                                 ,NC STATE SENATE DISTRICT 30,Don W. East,REP,344,0.014143519
ALLEGHANY,38293,5,PINEY CREEK                                                 ,NC STATE SENATE DISTRICT 30,Don W. East,REP,129,0.014143519
ALLEGHANY,38293,5,PINEY CREEK                                                 ,NC STATE SENATE DISTRICT 30,Melvin T. Jackson,DEM,121,0.014143519
ALLEGHANY,38293,6,PRATHERS CREEK                                              ,NC STATE SENATE DISTRICT 30,Melvin T. Jackson,DEM,91,0.014143519
ALLEGHANY,38293,6,PRATHERS CREEK                                              ,NC STATE SENATE DISTRICT 30,Don W. East,REP,144,0.014143519
ALLEGHANY,38293,7,WHITEHEAD                                                   ,NC STATE SENATE DISTRICT 30,Don W. East,REP,143,0.014143519
ALLEGHANY,38293,7,WHITEHEAD                                                   ,NC STATE SENATE DISTRICT 30,Melvin T. Jackson,DEM,70,0.014143519
ALLEGHANY,38293,A     ,ABSENTEE                                                    ,NC STATE SENATE DISTRICT 30,Don W. East,REP,931,0.014143519
ALLEGHANY,38293,A     ,ABSENTEE                                                    ,NC STATE SENATE DISTRICT 30,Melvin T. Jackson,DEM,957,0.014143519
ALLEGHANY,38293,C     ,CURBSIDE                                                    ,NC STATE SENATE DISTRICT 30,Melvin T. Jackson,DEM,6,0.014143519
ALLEGHANY,38293,C     ,CURBSIDE                                                    ,NC STATE SENATE DISTRICT 30,Don W. East,REP,7,0.014143519
ALLEGHANY,38293,P     ,PROV                                                        ,NC STATE SENATE DISTRICT 30,Melvin T. Jackson,DEM,21,0.014143519
ALLEGHANY,38293,P     ,PROV                                                        ,NC STATE SENATE DISTRICT 30,Don W. East,REP,23,0.014143519
