county,precinct,contest_type,runoff_status ,recount_status,contest,choice,winner_status,party,Election Day,One Stop,Absentee by Mail,Provisional,total votes,district
ALAMANCE,01_PATTERSON,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,173,126,7,0,306,Not Found
ALAMANCE,02_COBLE,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,189,130,3,0,322,Not Found
ALAMANCE,035_BOONE 5,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,235,137,5,0,377,Not Found
ALAMANCE,03C_CENTRAL BOONE,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,285,189,14,0,488,Not Found
ALAMANCE,03N_NORTH BOONE,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,339,222,19,0,580,Not Found
ALAMANCE,03N2_NORTH BOONE 2,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,176,44,19,0,239,Not Found
ALAMANCE,03S_SOUTH BOONE,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,355,360,14,0,729,Not Found
ALAMANCE,03W_WEST BOONE,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,218,115,3,0,336,Not Found
ALAMANCE,04_MORTON,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,242,179,4,0,425,Not Found
ALAMANCE,05_FAUCETTE,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,156,120,1,0,277,Not Found
ALAMANCE,063_GRAHAM 3,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,301,189,9,0,499,Not Found
ALAMANCE,064_GRAHAM 4,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,335,369,8,0,712,Not Found
ALAMANCE,06E_EAST GRAHAM,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,206,193,0,0,399,Not Found
ALAMANCE,06N_NORTH GRAHAM,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,213,186,2,0,401,Not Found
ALAMANCE,06S_SOUTH GRAHAM,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,226,207,6,0,439,Not Found
ALAMANCE,06W_WEST GRAHAM,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,84,56,0,0,140,Not Found
ALAMANCE,07_ALBRIGHT,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,155,189,1,0,345,Not Found
ALAMANCE,08N_NORTH NEWLIN,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,219,149,3,0,371,Not Found
ALAMANCE,08S_SOUTH NEWLIN,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,120,50,9,0,179,Not Found
ALAMANCE,09N_NORTH THOMPSON,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,205,139,5,0,349,Not Found
ALAMANCE,09S_SOUTH THOMPSON,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,326,233,5,0,564,Not Found
ALAMANCE,103_MELVILLE 3,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,126,161,2,0,289,Not Found
ALAMANCE,10N_NORTH MELVILLE,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,290,281,4,0,575,Not Found
ALAMANCE,10S_SOUTH MELVILLE,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,458,521,4,0,983,Not Found
ALAMANCE,11_PLEASANT GROVE,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,389,426,2,0,817,Not Found
ALAMANCE,124_BURLINGTON 4,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,238,139,3,0,380,Not Found
ALAMANCE,125_BURLINGTON 5,S,0,0,NC STATE SENATE DISTRICT 24,Tony Foriest,0,DEM,188,136,3,0,327,Not Found
