county,unsure1,precinct,contest,choice,party,total_votes,unsure2
PERSON, ,absentee/provisional,SENATE DISTRICT 13,Sean Haugh,LIB,77,0.014097222
PERSON,ALVI  ,ALLENSVILLE                                                 ,SENATE DISTRICT 13,Sean Haugh,LIB,36,0.014097222
PERSON,CUCL  ,CUNNINGHAM/CHUB LAKE                                        ,SENATE DISTRICT 13,Sean Haugh,LIB,30,0.014097222
PERSON,HLWY  ,HOLLOWAY                                                    ,SENATE DISTRICT 13,Sean Haugh,LIB,28,0.014097222
PERSON,MTTZ  ,MT TIRZAH                                                   ,SENATE DISTRICT 13,Sean Haugh,LIB,74,0.014097222
PERSON,ROX1  ,ROXBORO 1                                                   ,SENATE DISTRICT 13,Sean Haugh,LIB,31,0.014097222
PERSON,RX1A  ,ROXBORO 1A                                                  ,SENATE DISTRICT 13,Sean Haugh,LIB,50,0.014097222
PERSON,ROX2  ,ROXBORO 2                                                   ,SENATE DISTRICT 13,Sean Haugh,LIB,54,0.014097222
PERSON,ROX3  ,ROXBORO 3                                                   ,SENATE DISTRICT 13,Sean Haugh,LIB,29,0.014097222
PERSON,ROX4  ,ROXBORO 4                                                   ,SENATE DISTRICT 13,Sean Haugh,LIB,33,0.014097222
PERSON,WDSD  ,WOODSDALE                                                   ,SENATE DISTRICT 13,Sean Haugh,LIB,32,0.014097222
PERSON, ,absentee/provisional,SENATE DISTRICT 13,Wallace Bradsher,REP,814,0.014097222
PERSON,ALVI  ,ALLENSVILLE                                                 ,SENATE DISTRICT 13,Wallace Bradsher,REP,342,0.014097222
PERSON,CUCL  ,CUNNINGHAM/CHUB LAKE                                        ,SENATE DISTRICT 13,Wallace Bradsher,REP,346,0.014097222
PERSON,HLWY  ,HOLLOWAY                                                    ,SENATE DISTRICT 13,Wallace Bradsher,REP,243,0.014097222
PERSON,MTTZ  ,MT TIRZAH                                                   ,SENATE DISTRICT 13,Wallace Bradsher,REP,471,0.014097222
PERSON,ROX1  ,ROXBORO 1                                                   ,SENATE DISTRICT 13,Wallace Bradsher,REP,254,0.014097222
PERSON,RX1A  ,ROXBORO 1A                                                  ,SENATE DISTRICT 13,Wallace Bradsher,REP,487,0.014097222
PERSON,ROX2  ,ROXBORO 2                                                   ,SENATE DISTRICT 13,Wallace Bradsher,REP,476,0.014097222
PERSON,ROX3  ,ROXBORO 3                                                   ,SENATE DISTRICT 13,Wallace Bradsher,REP,295,0.014097222
