county,election_dt,precinct_abbrv,precinct,contest,choice,party,ballot_count,FTP_Date
ALAMANCE,39028,1,PATTERSON                                                   ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,579,39059
ALAMANCE,39028,2,COBLE                                                       ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,751,39059
ALAMANCE,39028,35,BOONE 5                                                     ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,471,39059
ALAMANCE,39028,03C   ,CENTRAL BOONE                                               ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,587,39059
ALAMANCE,39028,03N   ,NORTH BOONE                                                 ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,520,39059
ALAMANCE,39028,03S   ,SOUTH BOONE                                                 ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,635,39059
ALAMANCE,39028,03W   ,WEST BOONE                                                  ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,379,39059
ALAMANCE,39028,03WS  ,WEST BOONE-SAT                                              ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,164,39059
ALAMANCE,39028,4,MORTON                                                      ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,709,39059
ALAMANCE,39028,5,FAUCETTE                                                    ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,500,39059
ALAMANCE,39028,63,GRAHAM 3                                                    ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,335,39059
ALAMANCE,39028,64,GRAHAM 4                                                    ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,630,39059
ALAMANCE,39028,06E   ,EAST GRAHAM                                                 ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,346,39059
ALAMANCE,39028,06N   ,NORTH GRAHAM                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,204,39059
ALAMANCE,39028,06S   ,SOUTH GRAHAM                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,475,39059
ALAMANCE,39028,06W   ,WEST GRAHAM                                                 ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,163,39059
ALAMANCE,39028,7,ALBRIGHT                                                    ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,514,39059
ALAMANCE,39028,08N   ,NORTH NEWLIN                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,395,39059
ALAMANCE,39028,08S   ,SOUTH NEWLIN                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,242,39059
ALAMANCE,39028,09N   ,NORTH THOMPSON                                              ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,318,39059
ALAMANCE,39028,09S   ,SOUTH THOMPSON                                              ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,489,39059
ALAMANCE,39028,103,MELVILLE 3                                                  ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,424,39059
ALAMANCE,39028,10N   ,NORTH MELVILLE                                              ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,589,39059
ALAMANCE,39028,10S   ,SOUTH MELVILLE                                              ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,660,39059
ALAMANCE,39028,11,PLEASANT GROVE                                              ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,277,39059
ALAMANCE,39028,1210,BURLINGTON 10                                               ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,216,39059
ALAMANCE,39028,124,BURLINGTON 4                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,302,39059
ALAMANCE,39028,125,BURLINGTON 5                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,355,39059
ALAMANCE,39028,126,BURLINGTON 6                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,471,39059
ALAMANCE,39028,127,BURLINGTON 7                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,202,39059
ALAMANCE,39028,128,BURLINGTON 8                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,121,39059
ALAMANCE,39028,129,BURLINGTON 9                                                ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,321,39059
ALAMANCE,39028,12E   ,EAST BURLINGTON                                             ,NC STATE SENATE DISTRICT 24,Hugh Webster,REP,153,39059
