,X,contest,candidate_count,year,contested,choice,party,district
1,1,SENATE DISTRICT 01,2,2000,Yes,"Ronald W. Toppin, Sr.",REP,1
2,2,SENATE DISTRICT 01,2,2000,Yes,Marc Basnight,DEM,1
3,3,SENATE DISTRICT 02,1,2000,No,"Frank W. Ballance, Jr.",DEM,2
4,4,SENATE DISTRICT 03,2,2000,Yes,David G. Hipps,REP,3
5,5,SENATE DISTRICT 03,2,2000,Yes,Scott Thomas,DEM,3
6,6,SENATE DISTRICT 04,2,2000,Yes,Patrick J. Ballantine,REP,4
7,7,SENATE DISTRICT 04,2,2000,Yes,Louise McColl,DEM,4
8,8,SENATE DISTRICT 05,2,2000,Yes,Charles W. Albertson,DEM,5
9,9,SENATE DISTRICT 05,2,2000,Yes,Cynthia (Cindy) B. Watson,REP,5
10,10,SENATE DISTRICT 06,1,2000,No,R. L. (Bob) Martin,DEM,6
11,11,SENATE DISTRICT 07,3,2000,Yes,Thomas R. (Tom) Mattison,REP,7
12,12,SENATE DISTRICT 07,3,2000,Yes,"Luther Henry Jordan, Jr.",DEM,7
13,13,SENATE DISTRICT 07,3,2000,Yes,Stephen Cowles Shepherd,LIB,7
14,14,SENATE DISTRICT 08,2,2000,Yes,Ed Wharton,REP,8
15,15,SENATE DISTRICT 08,2,2000,Yes,John Kerr,DEM,8
16,16,SENATE DISTRICT 09,2,2000,Yes,A. A. (Dick) Adams,REP,9
17,17,SENATE DISTRICT 09,2,2000,Yes,Edward N. Warren,DEM,9
18,18,SENATE DISTRICT 10,2,2000,Yes,A. B. Swindell,DEM,10
19,19,SENATE DISTRICT 10,2,2000,Yes,Richard P. Horner,REP,10
20,20,SENATE DISTRICT 11,2,2000,Yes,"John S. Shallcross, Jr.",REP,11
21,21,SENATE DISTRICT 11,2,2000,Yes,Allen H. Wellons,DEM,11
22,22,SENATE DISTRICT 12,4,2000,Yes,Virginia Foxx,REP,12
23,23,SENATE DISTRICT 12,4,2000,Yes,Philip E. (Phil) Berger,REP,12
24,24,SENATE DISTRICT 12,4,2000,Yes,Vel Pierce,DEM,12
25,25,SENATE DISTRICT 12,4,2000,Yes,Al Wheeler,DEM,12
26,26,SENATE DISTRICT 13,4,2000,Yes,Wib Gulley,DEM,13
27,27,SENATE DISTRICT 13,4,2000,Yes,Wallace Bradsher,REP,13
28,28,SENATE DISTRICT 13,4,2000,Yes,Jeanne H. Lucas,DEM,13
29,29,SENATE DISTRICT 13,4,2000,Yes,Sean Haugh,LIB,13
30,30,SENATE DISTRICT 14,3,2000,Yes,R. Bradley (Brad) Miller,DEM,14
31,31,SENATE DISTRICT 14,3,2000,Yes,John W. Bryant,REP,14
32,32,SENATE DISTRICT 14,3,2000,Yes,Eric Miller Reeves,DEM,14
33,33,SENATE DISTRICT 15,2,2000,Yes,Oscar N. Harris,DEM,15
34,34,SENATE DISTRICT 15,2,2000,Yes,John Hairr,REP,15
35,35,SENATE DISTRICT 16,4,2000,Yes,Ellie Kinnaird,DEM,16
36,36,SENATE DISTRICT 16,4,2000,Yes,Vickie Hargrove,REP,16
37,37,SENATE DISTRICT 16,4,2000,Yes,Howard N. Lee,DEM,16
38,38,SENATE DISTRICT 16,4,2000,Yes,Bill Boyd,REP,16
39,39,SENATE DISTRICT 17,5,2000,Yes,Aaron Plyler,DEM,17
