"","contest","candidate_count","year","contested","choice","party","district"
"1","SENATE DISTRICT 01",2,2000,"Yes","Ronald W. Toppin, Sr.","REP",11111111111
"2","SENATE DISTRICT 01",2,2000,"Yes","Marc Basnight","DEM",11111111111
"3","SENATE DISTRICT 02",1,2000,"No","Frank W. Ballance, Jr.","DEM",11111111111
"4","SENATE DISTRICT 03",2,2000,"Yes","David G. Hipps","REP",11111111111
"5","SENATE DISTRICT 03",2,2000,"Yes","Scott Thomas","DEM",11111111111
"6","SENATE DISTRICT 04",2,2000,"Yes","Patrick J. Ballantine","REP",11111111111
"7","SENATE DISTRICT 04",2,2000,"Yes","Louise McColl","DEM",11111111111
"8","SENATE DISTRICT 05",2,2000,"Yes","Charles W. Albertson","DEM",11111111111
"9","SENATE DISTRICT 05",2,2000,"Yes","Cynthia (Cindy) B. Watson","REP",11111111111
"10","SENATE DISTRICT 06",1,2000,"No","R. L. (Bob) Martin","DEM",11111111111
"11","SENATE DISTRICT 07",3,2000,"Yes","Thomas R. (Tom) Mattison","REP",11111111111
"12","SENATE DISTRICT 07",3,2000,"Yes","Luther Henry Jordan, Jr.","DEM",11111111111
"13","SENATE DISTRICT 07",3,2000,"Yes","Stephen Cowles Shepherd","LIB",11111111111
"14","SENATE DISTRICT 08",2,2000,"Yes","Ed Wharton","REP",11111111111
"15","SENATE DISTRICT 08",2,2000,"Yes","John Kerr","DEM",11111111111
"16","SENATE DISTRICT 09",2,2000,"Yes","A. A. (Dick) Adams","REP",11111111111
"17","SENATE DISTRICT 09",2,2000,"Yes","Edward N. Warren","DEM",11111111111
"18","SENATE DISTRICT 10",2,2000,"Yes","A. B. Swindell","DEM",11111111111
"19","SENATE DISTRICT 10",2,2000,"Yes","Richard P. Horner","REP",11111111111
"20","SENATE DISTRICT 11",2,2000,"Yes","John S. Shallcross, Jr.","REP",11111111111
"21","SENATE DISTRICT 11",2,2000,"Yes","Allen H. Wellons","DEM",11111111111
"22","SENATE DISTRICT 12",4,2000,"Yes","Virginia Foxx","REP",11111111111
"23","SENATE DISTRICT 12",4,2000,"Yes","Philip E. (Phil) Berger","REP",11111111111
"24","SENATE DISTRICT 12",4,2000,"Yes","Vel Pierce","DEM",11111111111
"25","SENATE DISTRICT 12",4,2000,"Yes","Al Wheeler","DEM",11111111111
"26","SENATE DISTRICT 13",4,2000,"Yes","Wib Gulley","DEM",11111111111
"27","SENATE DISTRICT 13",4,2000,"Yes","Wallace Bradsher","REP",11111111111
"28","SENATE DISTRICT 13",4,2000,"Yes","Jeanne H. Lucas","DEM",11111111111
"29","SENATE DISTRICT 13",4,2000,"Yes","Sean Haugh","LIB",11111111111
"30","SENATE DISTRICT 14",3,2000,"Yes","R. Bradley (Brad) Miller","DEM",11111111111
"31","SENATE DISTRICT 14",3,2000,"Yes","John W. Bryant","REP",11111111111
"32","SENATE DISTRICT 14",3,2000,"Yes","Eric Miller Reeves","DEM",11111111111
"33","SENATE DISTRICT 15",2,2000,"Yes","Oscar N. Harris","DEM",11111111111
"34","SENATE DISTRICT 15",2,2000,"Yes","John Hairr","REP",11111111111
"35","SENATE DISTRICT 16",4,2000,"Yes","Ellie Kinnaird","DEM",11111111111
"36","SENATE DISTRICT 16",4,2000,"Yes","Vickie Hargrove","REP",11111111111
"37","SENATE DISTRICT 16",4,2000,"Yes","Howard N. Lee","DEM",11111111111
"38","SENATE DISTRICT 16",4,2000,"Yes","Bill Boyd","REP",11111111111
"39","SENATE DISTRICT 17",5,2000,"Yes","Aaron Plyler","DEM",11111111111
