"","X","year","contest","candidate_count","contested","choice","party","district"
"1",1,2000,"SENATE DISTRICT 02",1,"No","Frank W. Ballance, Jr.","DEM",11111111111
"2",2,2000,"SENATE DISTRICT 06",1,"No","R. L. (Bob) Martin","DEM",11111111111
"3",3,2000,"SENATE DISTRICT 19",1,"No","Robert G. (Bob) Shaw","REP",11111111111
"4",4,2000,"SENATE DISTRICT 22",1,"No","Fletcher L. Hartsell, Jr.","REP",11111111111
"5",5,2000,"SENATE DISTRICT 25",1,"No","David W. Hoyle","DEM",11111111111
"6",6,2000,"SENATE DISTRICT 26",1,"No","Austin Allran","REP",11111111111
"7",7,2000,"SENATE DISTRICT 31",1,"No","William N. (Bill) Martin","DEM",11111111111
"8",8,2000,"SENATE DISTRICT 33",1,"No","Charlie Dannelly","DEM",11111111111
"9",9,2000,"SENATE DISTRICT 39",1,"No","James (Jim) Forrester","REP",11111111111
"10",10,2000,"SENATE DISTRICT 41",1,"No","Larry Shaw","DEM",11111111111
"11",1,2002,"NC SENATE  (13)",1,"No","David F. Weinstein","DEM",13
"12",2,2002,"NC SENATE  (32)",1,"No","Linda Garrou","DEM",32
"13",3,2002,"NC SENATE  (33)",1,"No","Stan Bingham","REP",33
"14",4,2002,"NC SENATE  (37)",1,"No","Daniel G (Dan) Clodfelter","DEM",37
"15",5,2002,"NC SENATE  (38)",1,"No","Charlie Dannelly","DEM",38
"16",6,2002,"NC SENATE  (42)",1,"No","James (Jim) Forrester","REP",42
"17",7,2002,"NC SENATE  (44)",1,"No","Austin Allran","REP",44
"18",1,2004,"NC STATE SENATE DISTRICT 12",1,"No","Fred Smith","REP",12
"19",2,2004,"NC STATE SENATE DISTRICT 13",1,"No","David F. Weinstein","DEM",13
"20",3,2004,"NC STATE SENATE DISTRICT 19",1,"No","Tony Rand","DEM",19
"21",4,2004,"NC STATE SENATE DISTRICT 26",1,"No","Philip E. (Phil) Berger","REP",26
"22",5,2004,"NC STATE SENATE DISTRICT 28",1,"No","Katie G. Dorsett","DEM",28
"23",6,2004,"NC STATE SENATE DISTRICT 31",1,"No","Hamilton C. (Ham) Horton","REP",31
"24",7,2004,"NC STATE SENATE DISTRICT 33",1,"No","Stan Bingham","REP",33
"25",8,2004,"NC STATE SENATE DISTRICT 37",1,"No","Daniel G. Clodfelter","DEM",37
"26",9,2004,"NC STATE SENATE DISTRICT 38",1,"No","Charlie Dannelly","DEM",38
"27",10,2004,"NC STATE SENATE DISTRICT 4",1,"No","Robert L. Holloman","DEM",4
"28",11,2004,"NC STATE SENATE DISTRICT 42",1,"No","Austin Allran","REP",42
"29",1,2006,"NC STATE SENATE DISTRICT 03",1,"No","Clark Jenkins","DEM",3
"30",2,2006,"NC STATE SENATE DISTRICT 13",1,"No","David F. Weinstein","DEM",13
"31",3,2006,"NC STATE SENATE DISTRICT 16",1,"No","Janet Cowell","DEM",16
"32",4,2006,"NC STATE SENATE DISTRICT 17",1,"No","Richard Stevens","REP",17
"33",5,2006,"NC STATE SENATE DISTRICT 18",1,"No","Bob Atwater","DEM",18
"34",6,2006,"NC STATE SENATE DISTRICT 19",1,"No","Tony Rand","DEM",19
"35",7,2006,"NC STATE SENATE DISTRICT 20",1,"No","Jeanne H. Lucas","DEM",20
"36",8,2006,"NC STATE SENATE DISTRICT 27",1,"No","Kay Hagan","DEM",27
"37",9,2006,"NC STATE SENATE DISTRICT 28",1,"No","Katie G. Dorsett","DEM",28
"38",10,2006,"NC STATE SENATE DISTRICT 29",1,"No","Jerry W. Tillman","REP",29
"39",11,2006,"NC STATE SENATE DISTRICT 30",1,"No","Don W. East","REP",30
"40",12,2006,"NC STATE SENATE DISTRICT 31",1,"No","Peter Samuel (Pete) Brunstetter","REP",31
