"","year","contest","candidate_count","contested","choice","party","district"
"1",2004,"NC STATE SENATE DISTRICT 12",1,"No","Fred Smith","REP","12"
"2",2004,"NC STATE SENATE DISTRICT 13",1,"No","David F. Weinstein","DEM","13"
"3",2004,"NC STATE SENATE DISTRICT 19",1,"No","Tony Rand","DEM","19"
"4",2004,"NC STATE SENATE DISTRICT 26",1,"No","Philip E. (Phil) Berger","REP","26"
"5",2004,"NC STATE SENATE DISTRICT 28",1,"No","Katie G. Dorsett","DEM","28"
"6",2004,"NC STATE SENATE DISTRICT 31",1,"No","Hamilton C. (Ham) Horton","REP","31"
"7",2004,"NC STATE SENATE DISTRICT 33",1,"No","Stan Bingham","REP","33"
"8",2004,"NC STATE SENATE DISTRICT 37",1,"No","Daniel G. Clodfelter","DEM","37"
"9",2004,"NC STATE SENATE DISTRICT 38",1,"No","Charlie Dannelly","DEM","38"
"10",2004,"NC STATE SENATE DISTRICT 4",1,"No","Robert L. Holloman","DEM","4"
"11",2004,"NC STATE SENATE DISTRICT 42",1,"No","Austin Allran","REP","42"
